id,text,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
fas_000558f3dc9b9d1865cf214ebba1d8b3,بلاخره تاریخ مصرف اینم تموم میشه میریزیم تو گونی و بجای کود حیوانی میریزیم پای درخت,1,1,0,0,0,0,0,1,1,1,1,1
fas_001da3eb3f797505b8a028bd4bf5c2da,در همجا بهمین منوال است امّا اشکال آن متفاوتند، خارجی ستیزی هم یکنوع بار روانیست که یک قوم برای دیگران بوجود میآورند که متأسفانه در وطن ما هم یافت میشود. باید از هستی عزیز پرسید، چاره چیست؟,0,0,0,0,0,0,0,0,0,0,0,0
fas_0022ee96f6c57a97f0dca8f804d54e04,نقض جدی حقوق رسانه‌ای: طالبان به وعده‌های خود درباره آزادی بیان پشت کردند.با دستور جدید طالبان مبنی بر ممنوعیت برنامه‌های سیاسی و اقتصادی در رسانه‌ها، وضعیت آزادی بیان در افغانستان به شدت تضعیف شده است، و این گروه نشان داده که تمایلی به پذیرش رسانه‌های مستقل ندارد. با اعمال تحریم‌ها و سرکوب…,1,1,0,0,0,0,0,1,0,0,0,0
fas_0030ba28340b47485a26e2139216f689,همین باعث میشه مدیریت مالی رو یاد بگیری☺️اینم یکی از درس‌هاییه که استقلال بهت میده😌,1,1,0,0,0,0,0,1,0,0,0,0
fas_004235ccf63c422b701d1ce2e489b7c0,از دیشب که ترامپ کارتشو رو کرد واقعاً دارم به مهاجرت فکر می‌کنم. این کشور ایران چه آینده‌ای داره؟,0,0,0,0,0,0,0,0,0,0,0,0
fas_004b05aaecc81b08426c0bfcd20b75d1,خیلی😫 فکر کنم لازم بشه واقعا مهاجرت کنیم,0,0,0,0,0,0,0,0,0,0,0,0
fas_004dbe7a4a1912b03a17d65c60952be7,چیزی که خیلی وقته برام سواله و جوابی ندارم اینه که دوست و آشناهامون متوجه نیستن لاس زدنشون تو توییتر با این همه آدم اصلاً مخفی نیست و همه به راحتی تشخیص میدن که مثلاً مرد ۴۵ ساله داره با سه تا زن ۲۵ ساله و یه ۳۰ ساله و یکی که شاید تازه دانشجو شده باشه لاس می‌زنه، یا براشون مهم نیست. هر دو طرفش عجیبه.,1,0,0,0,1,0,0,0,1,1,1,0
fas_00587aaa0e647dfdbd61f2d40cc554c9,ولی مایی که بعد آزادی باید با گشت ارشاد خونه بجنگیم خیلی گناه داریم 👩🏻‍🦯,1,1,0,0,0,0,0,1,0,0,0,0
fas_007fce5964a90d861ea4845a45225b43,بر قبر مادر اون دلالی که ساپینتو رو کرد سرمربی استقلال لعنت,1,0,0,0,0,1,0,0,0,1,0,0
fas_008149b49aeee7a4df563a9a31615f05,همسرم نشسته پای #تاسیان. من فقط صداشو می‌شنوم. دیالوگا، موزیک، سکوتا... همش برام مثل یه فیلم توی ذهنمه. انگار ذهنم کارگردانی ‌می‌کنه.  اینجوری بهتر متوجه میشم که هر کسی می‌تونه یه داستان ثابت رو بسته به باورهاش متفاوت ببینه.,0,0,0,0,0,0,0,0,0,0,0,0
fas_008c1c9f75bb9dadb5213977965f19b3,و حتی نقد کنه، ولی نه با این زبان کین‌توزانه و همزمان متبختر. اون فاز طرفداری از فروغ از این در که گلستان پیرمردی بوده از که سادگی و جوانی فروغ سواستفاده کرده هم خیلی سویه‌های زن‌ستیزانه داره و شخصیت جسور و یکم لات و بدکون* فروغ رو سانسور می‌کنه و اون رو هم اصلا نیستم.,0,0,0,0,0,0,0,0,0,0,0,0
fas_00ae8e057fe97ad985e2e375f86846d3,ترور آلارم تهدید به حذف استاد رحیم پور ازغدی کرده....,1,0,0,0,0,1,0,1,0,0,0,0
fas_00c4fc470011db914160f82a939c2204,خودشو خراب کرد، هنرمند مردمی یا خانه نشینه، یا مهاجرت کرده,0,0,0,0,0,0,0,0,0,0,0,0
fas_00c69d796a6c7e8d370516c72e930b15,استقلال همه رکوردها رو شکست اگر پرسپولیس در قهرمانی های زود هنگامش آخر فصل شل نمیکرد از امتیاز 70 هم رد میشد,1,0,0,0,0,1,1,1,0,0,0,0
fas_00e538fdd883560178a68e894bf57dc1,گرونی و تجاوز و فیلترینگ تمام برنامه ها و دور نگهداشتن از کل دنیا هم پابرجاست,1,1,0,0,0,0,0,0,0,1,0,0
fas_00ef5b22145bae142352bdda2d2d1fa9,فکر‌میکنید اگه ایران و امریکا دوباره برگردند به  این توافق چند وقت پایدار میمونه!؟,1,1,0,0,0,0,0,1,1,1,0,0
fas_00fd55d60e0f14ae3673c2fc1e44ba08,منم پسرم  ولی اتفاقا گشت ارشاد های خونگی رو زود تر و بد تر از اونی که فکرش رو بکنی تجربه کردم,0,0,0,0,0,0,0,0,0,0,0,0
fas_010a6cf4509d08dd8ea3ba1c8fb4324a,قانون را مردم وضع می کنند. قانون باید برگرفته از رویه هایی باشد که مردم اتخاذ می کنند.,1,1,0,0,0,0,0,0,0,0,0,1
fas_013cfe4138641f61f51b57bc7e8d4923,تمام توییتارو بدون سانسور آیدی و عکس نشون میدن😐جدی جدی دارم کم کم مشکوک میشم,1,0,0,0,0,1,0,1,0,0,0,0
fas_015d4b9cb4fa5d2505e2e90dcf62031b,کدوم قانون؟ در نظام استبدادی قانون وجود ندارد.,1,1,0,0,0,0,0,0,0,0,0,1
fas_01938f6e03fd9356f224d8e25d8ca110,از دوره پرزیدنت ترامپ که این اتفاقها افتاد از هرچی سیاه بدم اومده مشتی انگل کون لیس حزب دموکرات.,1,1,1,0,0,0,1,1,1,0,0,0
fas_01a54bd69955760b41e96021628bd460,چون هنوز تو ذهنش سیستم قابل قبول ارباب بردگی هست. مثل همین فعال های حقوق زنان و اقلیت به طور کل,1,0,0,0,1,0,1,0,0,1,0,0
fas_01b0d81541b6d58ee7475a7df66b8cd0,غمگینم مث براندازی که وقتی داشت میگفت تو ایران آزادی بیان نیست از پلیس فرانسه و آلمان و انگلیس کتک خورد,1,1,0,0,0,0,1,0,0,0,1,1
fas_01bf2a59d89aa70e441d0a2d1f0d47bb,رئیس جمهور برزیل رفیق فاب ترامپ,1,1,0,0,0,0,0,1,0,0,0,0
fas_01deef87ac736b1d9d0c6c910b37f16e,پسرا با دختری که گشت ارشاد گرفتتش ازدواج میکنین,1,0,0,0,0,1,0,1,0,0,0,0
fas_01f1ccc97716540e867655acb3eed861,آخرین روز تحصن در لندن با هدف حمایت از زندانیان سیاسی و توقف اعدام در ایران,0,0,0,0,0,0,0,0,0,0,0,0
fas_02150d87ce447c7592f7161a7382cb4f,آمریکا یه رییس جمهور کوسخولی به اسم جو بایدن داره که آلزایمر او باعث امضا شدن برجام خواهد شد البته به واسطه گری رابرت مالی,1,1,0,0,0,0,0,1,0,1,0,0
fas_023c315f58490dc32124eeebeb0bb9b2,چرا دیه دو مورد آخر با هم متفاوته🥴🚶🏻‍♀️,0,0,0,0,0,0,0,0,0,0,0,0
fas_02454ccc3ca61c1794fe1766b6adb176,من دارم برای آزمون وکالت میخونم .لیسانسم رو خیلی وقته گرفتم 😂,1,0,0,0,0,1,0,1,0,0,0,0
fas_024622f800ac4308c34ce71d8c2c33e3,منم مث دو بزرگوار فوقانی ☝🏾 فقط اگه زرزر کنن که حجاب اصن یه چیز فمینیستیه خونم به جوش میاد,1,0,0,1,0,0,0,1,0,1,0,0
fas_02497adcbad7704116fe5de418b01e1e,در کل به نظر من تعصب داشتن روی نوع خاصی از ساختار سیاسی اشتباهه...! اما باز هم مشروطه قابل تحمل تره...!,1,1,0,0,0,0,1,1,0,0,0,0
fas_025bc4fc204980863921091139045c5e,ترامپ چوب تو کونت کرده؟ چیکار کرده اینقدر داغونی؟!,1,1,0,0,0,0,0,0,0,1,0,0
fas_027d0b94376ad137a694aa9cb59ce95d,کیا موافق مصادره اموال مسئولینی که در باطن عشق غرب و فرزندانشون اونور ولی درظاهر مسلمانو، جای مهر در پیشانی,1,1,0,0,0,0,0,1,0,0,0,0
fas_0287589e8764f396a7a8386f7b136a42,از این دید ببینید که منظور اخلاق و سبک زندگی کربلایی منظور بوده کربلایی شدن نه کربلا رفتن والا که شمر هم رفت کربلا,1,0,0,0,0,1,0,1,0,0,0,0
fas_028b5bdf7ef0f48b99ca6eeff0fc8440,تا دیروز داشتن همدیگرو جر میدادن و فوش میکشیدن به همدیگه الان پشت همدیگه شدن داستان داره قضیه استقلال پرسپولیس,1,0,0,0,0,1,0,1,0,1,0,0
fas_02a9adc820a28f9d51819e789d1e5561,فقط اون دیالوگ ک میگ اگه الان جا بزنیم خون همه کسایی ک تا الان فدا شدن پای مال میشه,1,1,0,0,0,0,1,1,0,1,0,0
fas_02acdf6b59934e289ad13e5cca21b282,اینکه #ترامپ رئیس جمهور نشد واقعا #معجزه بود,1,1,0,0,0,0,0,1,0,0,0,0
fas_02af4e0bd733553a43cde7158b4b5406,صدور پروانه وکالت برای سعید مرتضوی؛ واکنش‌ها: جمهوری اسلامی بی‌آبرو است,1,1,0,0,0,0,0,1,0,0,0,0
fas_02b008fe4606539c0e5b5c68ae0c2955,جدی جدی استقلالی ها جوری کری میخونن انگار اونی که گلات کرده اونان اونی که بعد ده سال قهرمان شده پرسپولیس برگام😕,1,0,0,0,0,1,0,1,0,0,0,0
fas_02b5a6d75d0dc55f207e5bfbbe9c2a6e,دموکراسی نسبتی با آزادی بیان برای تجزیه طلبی ندارد بزرگوار!,1,1,0,0,0,0,0,1,0,0,0,0
fas_02c647b74609459b6f2a108d2a89a8b3,چه نشسته‌ای که رئیس جمهور گفته دولت کمک میکنه مردم مهاجرت کنند. بعد تو دنبال کار میگردی؟ اینجا؟,0,0,0,0,0,0,0,0,0,0,0,0
fas_02dc29597b9b498199e72f281c2a6685,احساس میکنم دیگه با آدمای پیجم هم فاز نیستم کلا با چهار پنج نفرشون میتونم دیالوگ کنم... به نظرم باید پیجمو باز کنم آدمای هم فاز بیشتری پیدا بشه شاید 😁,0,0,0,0,0,0,0,0,0,0,0,0
fas_02e2ae9807c92467d21f899702733e45,آزادی بیان شامل توهین و بی ادبی میشه. ولی لزوما نباید از هر آزادی استفاده کنی,1,1,0,0,0,0,0,1,0,0,0,0
fas_02e4ce310fbd683fddf6c2384b007e49,با يك قانون اساسى درست مشروطه ميمونه,1,1,0,0,0,0,0,1,1,0,0,0
fas_02fde40677e00a706fb7eeeebb927fed,ولی کاش فیلترینگ رو بر ندارن من تازه یک ساله خریدم 😂😂😂😂😂😂😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0
fas_0303b188ca6f4dfdfde8b563f052f1dd,تایملاینمو با متروی تجریش پاره کردین!,1,0,0,0,0,1,0,1,0,0,0,0
fas_030a7455f332a1851244a6f7f2820ce4,کورخوانده آن کسانی که خلیج فارس را خلیج عرب بخواند,1,1,0,0,0,0,0,1,0,1,0,1
fas_030b3fd47123c0d9d17705bcb21b2b4f,من میرم بخوام مسعود تا فردا دوباره در مورد فیلترینگ بنویسم🥲,0,0,0,0,0,0,0,0,0,0,0,0
fas_030d66c3037e5ad6b25c7531784c8104,فاحشه هارو اعدام کنید  #اعدام_کنید,1,0,0,1,1,0,1,0,0,0,1,0
fas_0312a5180d58c87b04bd0aaa9a99ce36,مشکل روش نیست. ماهیت حجاب اجباری و تحمیل حجاب غلط و اشتباهه و باید متوقف بشه.,1,0,0,1,0,0,0,1,0,0,0,0
fas_03164f67a6884de201461270759a7cdc,😂 چرا سینه های المیرا رو دیگه سانسور کردیخ,0,0,0,0,0,0,0,0,0,0,0,0
fas_03190d27a5b0422772bbc13c7ecd8f5b,عرزشی هایی که از فیلترینگ و سرعت نت مینالن نمیشه برن توی همون پیام رسان سَروَش‌ گه بخورن اینجا رو به گند نکشن؟,1,1,0,1,0,0,0,1,0,1,0,0
fas_034a3e930f0af453e473dab006045539,امشب اولین شبیه که توی خوابگاه تنهام!اونم بعد از ۳/۵ سال دانشجو بودن!,1,0,0,0,0,1,0,1,0,0,0,0
