id,text,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
hin_001e5bf8c0de69bb28deedd67c216423,"असदुद्दीन ओवैसी की AIMIM को झटका! इकलौती हिंदू पार्षद का इस्तीफा, मुस्लिम बहुल वार्ड से दर्ज की थी जीत मध्य प्रदेश के खरगोन में धर्म परिवर्तन को बढ़ावा देने के आरोपों से परेशान होकर मध्य प्रदेश में असदुद्दीन ओवैसी की पार्टी ऑल इंडिया मजलिस-ए-इत्तेहादुल मुस्लिमीन (एआईएमआईएम) की एकमात्र हिंदू महिला…",1,1,0,1,0,0,0,1,0,1,0,0
hin_0039d312d9ca29985ce8f0bef66f6d86,"सैफ अली खान पर चाकू से हमला, उनकी रीढ़ की हड्डी के करीब चोट आई है सैफ अली खान को उनके मुंबई स्थित घर में घुसकर एक घुसपैठिए ने छह बार चाकू मारा था। घटना गुरुवार रात करीब 2.30 बजे की है. एक्टर की इस समय मुंबई के लीलावती अस्पताल में सर्जरी चल रही है। अस्पताल के कर्मचारियों ने पुष्टि की कि अभिनेता अब…",0,0,0,0,0,0,0,0,0,0,0,0
hin_005d81492220840773cbd7c534b12194,#ZeeNews सुप्रीम कोर्ट से राहुल-तेजस्वी को बड़ा झटका! | SC Verdict on Bihar Voter list Revision| Breaking News सुप्रीम कोर्ट से राहुल-तेजस्वी को बड़ा झटका! | SC Verdict on Bihar Voter list Revision| Breaking News #biharvoterlist #supremecourt #breakingnews #verdict SC Verdict on Bihar Voter list…,1,1,0,1,0,0,0,1,0,1,1,1
hin_0068fabeb5f38bf2df307cbab8f93d70,"हम न्यायपालिका को मानते हैं....मगर हम न्यायपालिका की बात नहीं मानेगें। ""देश की डरी हुई कौम"" #ज्ञानवापी_मस्जिद #हिजाब #तीनतलाक #लाउडस्पीकर",1,1,1,1,0,0,1,1,0,1,1,1
hin_008145a553d5630811df463c0c956c7f,जिस दिन भारत की सब बेटियाँ भगवत #गीता पढ़ने लेंगी उस दिन से न धर्मांतरण होगा न लव जेहाद। #घर_घर #गीता 🙏🚩,1,1,0,1,1,0,0,1,0,0,0,1
hin_00960b1bdb3815af6ee27bfc45831e11,#देशद्रोही_ADM_के_के_सिंह_को_बर्खास्त_करो #देशद्रोही_ADM_के_के_सिंह_बर्खास्त_करो,1,1,0,0,0,0,1,1,1,1,1,1
hin_009c10d0fc1b80676f7aa01a7a4666f7,#ZeeNews Agra Conversion Case: आगरा की आयशा तो धर्मांतरण की मास्टरमाइंड निकली। Zee News। Yogi Adityanath Agra Conversion Case: आगरा की आयशा तो धर्मांतरण की मास्टरमाइंड निकली। Zee News। Yogi Adityanath आईसा गोवा में रहती थी..विदेशों से उसके खाते में पैसे आते थे..उसका पति कोलकाता में रहता था..वो…,1,1,0,1,1,0,0,1,0,0,0,1
hin_00aeaffa170381dd5266237086f26c5b,ये तो हलाल है। इस्से इनको 72 हूर मिलेंगी,1,0,0,1,0,0,0,1,0,0,0,1
hin_00b57caf2f56c35ddae65e112247125b,चीन मुसलमानों के लिए बहुत ही सुंदर देश है... 😊 और ज्यादा दूर भी नहीं है,1,1,1,1,0,0,0,1,1,1,0,1
hin_00d2446e02479ae20656848dbe433c2f,मोहम्मद Zubair के जीजा है ये Alt न्यूज वाले तभी बहुत बुरा लग रहा है इनको धर्मांतरण जो करवा लिया है,1,1,1,1,0,0,0,1,1,1,1,1
hin_00d9e1002bb8a71ea8827af2da8a3466,"#ZeeNews Deshhit: असम में हिमंता की कार्रवाई से दहले घुसपैठिए, देख सब चौंके! | Action On Bangladeshi In Assam Deshhit: असम में हिमंता की कार्रवाई से दहले घुसपैठिए, देख सब चौंके! | Action On Bangladeshi In Assam Deshhit: असम में हिमंता की कार्रवाई से दहले घुसपैठिए, देख सब चौंके! | Action On…",1,1,1,0,0,0,1,1,1,1,1,1
hin_010bb594f7aafc4d90d0d9d9ccdaaedd,जब तक आप मुसलमानों का डर दिखा रहे हो तब तक नफरत का कारोबार चल रहा है याद रखिए आदमी सांप से डरता है केंचुए से नहीं!!,1,1,0,1,0,0,1,1,1,1,1,0
hin_01556c002b365cb187330956f3b3fdc6,वाह रे हिंदुत्व तेरे कितने रंग,1,1,0,1,0,0,0,0,0,0,1,0
hin_0156e6c7be52eea5941e8042c6889f6c,अपनी जिंदगी में हिंदुत्व के लिए किया हुआ कोई काम बताने की कृपा करें??,1,1,0,1,0,0,0,0,0,0,1,1
hin_016827c2c5a2f5ddbc4073e65225ab97,मोदी देश के है ये वो पंजाब है जहां खालिस्तानी आंदोलन हुआ ऑपरेशन ब्लू स्टार हुआ,1,1,1,1,0,0,1,0,0,0,0,1
hin_016934ee557bab6c98c9a7acfe8343ff,"IPL के दीवानों को बड़ा झटका! अब मोबाइल पर फ्री नहीं देख पाएंगे मैच, देने पड़ेंगे इतने पैसे Indian Premier League (IPL) के दीवानों को बड़ा झटका लगा है. अब वो अपने मोबाइल पर IPL के मैच मुफ्त में नहीं देख पाएंगे. मार्च में शुरू होने वाले नए सीजन के मैच देखने के लिए उन्हें पैसे चुकाने पड़ेंगे. दरअसल,…",0,0,0,0,0,0,0,0,0,0,0,0
hin_01703d5bb80947898e8924578e04b9b4,परिवारवाद का बेढंगे नमूने,1,1,0,0,0,0,1,1,0,1,1,0
hin_01a2449f85014bd9aaa6ed4983013523,"#ZeeNews Rajniti: लखनऊ के मॉल में धर्मांतरण कांड, मचा हड़कंप! | Latest News | UP News | Breaking News Rajniti: लखनऊ के मॉल में धर्मांतरण कांड, मचा हड़कंप! | Latest News | UP News | Breaking News #lulumall #lucknow #rajniti एक बार फिर विवादों के घेरे में है यहां काम करने वाली एक युवती ने माल के…",1,1,0,1,1,0,0,1,0,0,0,0
hin_01d22d869a15a377315ed502f55e15d2,"""पप्पू मूत्र"" जो तुम चमचे पीते हो वो ""हलाल"" है?",0,0,0,0,0,0,0,0,0,0,0,0
hin_0209aeb422918f9dec6792331b1ac63b,हम हिंदू हैं हिंदुत्व की ही बात करेंगे।,1,1,0,1,0,0,0,0,0,1,0,0
hin_02276dccd5207493f24b7c3b6bec361e,"गद्दारी (अरबी+फारसी) -&gt; द्रोह धोखेबाज (उर्दू) -&gt; कपटी, धूर्त गद्दार (अरबी) -&gt; राष्ट्रद्रोही, देशद्रोही, विद्रोही",1,1,0,0,0,0,0,0,0,1,1,0
hin_025354bf135e38ad4445948dc988102d,भारत के इतिहास में अबतक सबसे ज्यादा धर्मांतरण तो मोदीजी ने कीया है. 😂 😂 😂 😂,1,1,0,1,0,0,1,1,1,1,1,1
hin_025878c9f04255b1bec5668d84cded56,लोकतंत्र के व्यापारी परिवारवाद के राजतंत्र के पुजारी कांग्रेसी,1,1,0,0,0,0,1,1,0,1,1,1
hin_028ef4fe78993fe30b3ac493d8bfc43e,#BharatStandsWithModiJi  #कांग्रेस_ही_कलंक_है  #कांग्रेस_मुक्त_भारत  #कांग्रेस_शर्मिंदा_है,1,1,0,0,0,0,1,1,0,0,1,1
hin_02c27be0df0aec36a90287ec5e6a0a22,राजस्थान में SC ST के विधायक दरी बिछाने का काम करें #जय_जोहर #जय_भीम,1,1,1,1,0,1,1,1,0,0,1,1
hin_02c79e407b152020a2dad1430d74a1f0,जिहाद किसी भी प्रकार का हो यह संपूर्ण मानवता के लिए बहुत बड़ा ख़तरा है। जेहाद के हर प्रकार से सावधान रहें।,1,0,0,1,0,0,0,0,0,1,0,0
hin_02c9e0442bce8a2ea831761d9d836fe0,#ZeeNews Rajniti: छांगुर की ‘हवेली’ से ये क्या मिला? सब हैरान!| Action on Changur Baba | CM Yogi Rajniti: छांगुर की 'हवेली' से ये क्या मिला? सब हैरान!| Action on Changur Baba | CM Yogi #breakingnews #chhangurbaba #rajniti UP ATS Arrested Chhangur Baba: छांगुर की सहयोगी नीतू के धर्मांतरण पर…,1,1,0,1,1,0,0,1,0,1,1,1
hin_0305913ea27ef4f68aa63fdcd312c1d6,"#ZeeNews PM Modi China Visit Update : ट्रंप को झटका, चीन जाएंगे पीएम मोदी, एक्शन में रूस-भारत!|Trump Tariffs PM Modi China Visit Update : ट्रंप को झटका, चीन जाएंगे पीएम मोदी, एक्शन में रूस-भारत!|Trump Tariffs प की टैरिफ धमकी के बीच पीएम मोदी चीन का दौरा करने वाले हैं.. पीएम मोदी के इस दौरे को लेकर…",1,1,0,0,0,0,0,0,0,1,0,0
hin_0305cb6b1cd707633ebe756ef734145b,"अब रुड़की में भी हनुमान शोभा यात्रा पर मुसलमानों ने किया पथराव। चार वाहनों में लगाई आग , उत्तराखंड में हाई अलर्ट।",1,1,0,1,0,0,1,1,0,0,0,1
hin_030cbd7c06f6bc094fd9d8c39cc4a3ef,"ऐसा क्यों है कि ""गर्व से कहो हिंदू हैं"", ""JSR"" आदि नारे के साथ मुसलमानों पर हमला करते हुए अधिकतर दलितों को ही देखा जाता है? क्यों? 🤔🤔🤔🤔🤔🤔🤔",1,1,1,1,0,1,1,0,0,0,1,0
