id,text,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
ori_0023a7940e5316a4237e3e4c5cac28ef,ତେବେ ଏହି ହତ୍ୟାକାଣ୍ଡ ପଛରେ ବିଜେପିର ହାତ ଥିବା ନେେଇ ଅଭିଯୋଗ କରିଛନ୍ତି ଟିଏମସି କର୍ମୀ ।,1,1,0,0,0,0,0,1,0,0,0,0
ori_00da46415b2c2d45164d03c11b8e9c78,"ସରକାର ବିଭିନ୍ନ ସାମାଜିକ ଅର୍ଥନୈତିକ ଜନକଲ୍ୟାଣକାରୀ ପଦକ୍ଷେପ ମାଧ୍ୟମରେ ଦାରିଦ୍ର୍ୟ ଦୂରୀକରଣ , ଦ୍ରୁତ ଅର୍ଥନୈତିକ ଅଭିବୃଦ୍ଧି , ଆଞ୍ଚଳିକ ବୈଷମ୍ୟ ଓ ଲିଙ୍ଗ ପ୍ରଭେଦ ହ୍ରାସ ପାଇଁ ଉଦ୍ୟମ ଜାରି ରଖିଛନ୍ତି ।",0,0,0,0,0,0,0,0,0,0,0,0
ori_00ea95c94a13a6db30de753c5a68dd05,@USER ମୋତେ ତ ଏମିତି ଲାଗେ tweeter re ଘର ଖାଇବା ସବୁ ମିଳେ😆😄...,0,0,0,0,0,0,0,0,0,0,0,0
ori_00ef9d51c618c6e7378243e38b6f6381,"@USER ଡାଇବେଟିସ, ଚନ୍ଦାପଣ ଦୂର , ମାନସିକ ଦୁଶ୍ଚିନ୍ତା ଦୂର",0,0,0,0,0,0,0,0,0,0,0,0
ori_01074241a29c71844d0282797a4f5542,@USER ଆଜି ପର୍ଯ୍ୟନ୍ତ ମୁଁ ଏ .... ଭଦ୍ର ବ୍ୟକ୍ତିଙ୍କୁ ବୁଝପାରୁନାହିଁ ଯେ ଏ କମେଡିୟାନ ନା ନେତା ନା ଖେଳାଳି ନା ପାଗଳ ।,1,1,0,0,0,0,0,1,0,0,0,0
ori_01084b7a852608b0644a613edbde1f7d,ବିଜେପିର ସ୍ଥାନୀୟ ବିଧାୟକ ବିଜୟପାଲ୍ ସିଂହ ତୋମାର ଯୁକ୍ତି ବାଢ଼ିଛନ୍ତି ଗିରଫ ବିଜେପି କାଉନସିଲରର ନିଜର ଆତ୍ମରକ୍ଷା ପାଇଁ ଆକ୍ରମଣ କରିବାକୁ ବାଧ୍ୟ ହୋଇଥିଲେ ।,0,0,0,0,0,0,0,0,0,0,0,0
ori_012e5673163c53ceb4142da1e5631933,ଅଭିଯୋଗ ଅନୁଯାଇ ଗତ ୧୩ତାରିଖ ସନ୍ଧ୍ୟାବେଳେ ଉକ୍ତ ଗ୍ରାମର ଜଣେ ମହିଳା ଘରଠାରୁ ଟିକେ ଦୁରକୁ ଶୌଚ ପାଇଁ ଯାଇଥିବାବେଳେ ସେହିଗ୍ରାମର ଜଣେ ଯୁବକ ତାଙ୍କୁ ଯୋରଜବରଦସ୍ତ ଦୁଷ୍କର୍ମ କରିଥିଲା ।,0,0,0,0,0,0,0,0,0,0,0,0
ori_0141cd36cdded882d3fd576513f43a43,"ଜାତିକୁ ନେଇ ଲଢ଼େଇ କରାଇବା , ଲୋକଙ୍କୁ ଉସୁକାଇ ସମାଜରେ ବିଭାଜନ ସୃଷ୍ଟିି କରିବା କାମ ହିନ୍ଦୁତ୍ୱବାଦୀ ଶକ୍ତି କରୁଛି ବୋଲି ସେ କହିଥିଲେ ।",1,0,1,1,0,0,1,0,0,0,0,0
ori_01953d209842256e2724ab8f98f5f3ae,"ଯଦି କେନ୍ଦ୍ର ସରକାର ଉଚ୍ଚ ଜାତିଙ୍କ ପାଇଁ କୌଣସି ପଦକ୍ଷେପ ନେଉଛନ୍ତି , ତେବେ ମୁସଲମାନ ଓ ଅନ୍ୟ ସମ୍ପ୍ରଦାୟଙ୍କ ପାଇଁ ମଧ୍ୟ ସଂରକ୍ଷଣ ବ୍ୟବସ୍ଥା କରାଯିବା ଉଚିତ୍ ।",1,1,1,0,0,0,1,0,0,1,0,0
ori_01b2d74309ed10c6f8af5be13df3cb56,"@USER @USER ଠିକ୍ ୨୨ବର୍ଷ ପୂର୍ବରୁ କଂଗ୍ରେସ ଶାସନ ସମୟରେ ଏଇଭଳି ଦେଖିବାକୁ ମିଳୁଥିଲା, ଶାସକ ଦଳର ହାରିବା ଭୟରେ ଏଇ ରାସ୍ତାରେ ଚାଲିଲା.......",1,1,0,0,0,0,0,0,0,0,0,1
ori_01b5553c4d3e3cda3e74913b287084ac,"ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଲେ ଯେ ପଶୁପତିନାଥ, ମୁକ୍ତିନାଥ ଏବଂ ଜାନକୀଧାମର ମନ୍ଦିରଗୁଡ଼ିକ ନେପାଳର ବିବିଧତା ମଧ୍ୟରେ ଏକତାକୁ ଦର୍ଶାଇଥା’ନ୍ତି ଏବଂ ଭାରତ ସହିତ ଏହାର ସମ୍ପର୍କକୁ ଆହୁରି ଦୃଢ଼ୀଭୂତ କରିଥାଏ ।",0,0,0,0,0,0,0,0,0,0,0,0
ori_01e2486cda16d94ee5bc5100c23811de,ସେହିପରି ନିଜର ପଡ଼ୋଶୀ ଥିବା ଜଣେ ଛାତ୍ର ନେତାଙ୍କୁ ସର୍ବସାଧାରଣରେ ଗାଳିଗୁଲଜ ସହ ମରଣାନ୍ତକ ଆକ୍ରମଣ କରିଥିବା ମାମଲାରେ ବି ଶ୍ରୀ ମହାନ୍ତିଙ୍କ ବିରୁଦ୍ଧରେ ପୁଲିସ୍ ଏପର୍ଯ୍ୟନ୍ତ ସାମାନ୍ୟତମ ପଦକ୍ଷେପ ନେଇନାହାନ୍ତି ।,0,0,0,0,0,0,0,0,0,0,0,0
ori_01e4bb8fc7f131cf4ecb16373441e3a1,"ଟ୍ୱିଟ୍ କରି ରାଜନାଥ ଲେଖିଛନ୍ତି, ରାଜନୀତି ତଥା ସମାଜର ଅନନ୍ୟ ଦୃଷ୍ଟିକୋଣ ପାଇଁ ଯଶୱନ୍ତ ସିଂଙ୍କୁ ସ୍ମରଣ କରାଯିବ ।",0,0,0,0,0,0,0,0,0,0,0,0
ori_01e9c4bef188dab819e0f6f134f0d31f,ତେଣୁ ମୋଦିଙ୍କୁ ସମର୍ଥନ କରି ବିଜେପିକୁ ଉତ୍ତର ପ୍ରଦେଶ ବାସୀ ସବୁଠୁ ଅଧିକ ଜନମତ ଦେଇଥିଲେ ।,0,0,0,0,0,0,0,0,0,0,0,0
ori_01efad9dfdd6c398176e2171149d9fd7,କେବଳ କଂଗ୍ରେସ ଯୋଗୁ ଭାରତ ଏକ ଧର୍ମନିରପେକ୍ଷ ସାଧାରଣତନ୍ତ୍ରରେ ପରିଣତ ହୋଇଛି ।,0,0,0,0,0,0,0,0,0,0,0,0
ori_022f8380499149d746c1bcc7759243b3,"ଆମର ଜୀବନ, ସଂସ୍କୃତି, ଐତିହ୍ୟ ଓ ଧର୍ମ ସହିତ ନଡିଆ ଜଡିତ।",0,0,0,0,0,0,0,0,0,0,0,0
ori_023186d3048754ecdff429c2731e8dbf,ଭାରତୀୟ ବାୟୁ ସେନା ଯେତେ ପରିମାଣରେ ଆତଙ୍କବାଦୀ ଶିବିରକୁ ଧ୍ୱଂସ କରାଇଥିବା ସୂଚନା ଦେଇଥିଲା ତାହାକୁ ଅସ୍ୱୀକାର କରିଛି ବିରୋଧୀ ଦଳ କଂଗ୍ରେସ ।,0,0,0,0,0,0,0,0,0,0,0,0
ori_0266ac3a78c482681f57945867d4509a,"ଆହୁରି ପଢ଼ନ୍ତୁ ୨୦୨୦ ଜୁନରୁ କଳାହାଣ୍ଡି ବିଶ୍ୱବିଦ୍ୟାଳୟ ସାମାଜିକ ଗଣମାଧ୍ୟମରେ ଧର୍ମେନ୍ଦ୍ର କହିଛନ୍ତି , ଓଡ଼ିଶାର ଚାଷୀଙ୍କୁ ନବୀନ ସରକାର ଦୀର୍ଘ ୧୯ ବର୍ଷ ଧରି ଭୁଆଁ ବୁଲାଇ ଆସିଛନ୍ତି ।",0,0,0,0,0,0,0,0,0,0,0,0
ori_028dd8dcbd35e69d5560501151e373c7,କୁଇ ସମାଜ ସମନ୍ବୟ ସମିତି ସାଧାରଣ ସଂପାଦକ ତଥା ବରିଷ୍ଠ ଆଦିବାସୀ ନେତା ଲମ୍ବୋଦର କହଁର ଆନ୍ଦୋଳନର ନେତୃତ୍ୱ ନେଇଥିଲେ ।,0,0,0,0,0,0,0,0,0,0,0,0
ori_02950fca8074fbf3817367f2f41e5d7e,ଏହାକୁ ସାଧାରଣ ଲୋକେ ମଧ୍ୟ ସମର୍ଥନ କରିଥିବା ନଗର କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ମହମ୍ମଦ ମୋକିମ କହିଛନ୍ତି ।,0,0,0,0,0,0,0,0,0,0,0,0
